School,County,District,School Address,Phone Number,Administrator,School Type,Low Grade,High Grade,Public School,Charter,Magnet,Year Round
Charles Peck Elementary,Sacramento,San Juan Unified,"6230 Rutland Dr. Carmichael, CA 95608-0721",(916) 867-2071,"Mary Cardoso, mcardoso@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Cottage Elementary,Sacramento,San Juan Unified,"2221 Morse Ave. Sacramento, CA 95825-7829",(916) 575-2306,"Arthur Estrada, arthur.estrada@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Coyle Avenue Elementary,Sacramento,San Juan Unified,"6330 Coyle Ave. Carmichael, CA 95608-0439",(916) 867-2012,"James Reinhard, james.reinhard@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Del Campo High,Sacramento,San Juan Unified,"4925 Dewey Dr. Fair Oaks, CA 95628-4402",(916) 971-5664,"Greg Snyder, gsnyder@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
Del Dayo Elementary,Sacramento,San Juan Unified,"1301 McClaren Dr. Carmichael, CA 95608-6119",(916) 575-2323,"Juliann Wolney, (916) 575-2323, jwolney@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Del Paso Manor Elementary,Sacramento,San Juan Unified,"2700 Maryal Dr. Sacramento, CA 95821-6621",(916) 575-2330,"Damon Smith, damonsmith@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Dyer-Kelly Elementary,Sacramento,San Juan Unified,"3101 Bell St. Sacramento, CA 95821",(916) 566-2150,"Jamal Hicks, (916) 556-2150, jhicks@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Earl Legette Elementary,Sacramento,San Juan Unified,"4623 Kenneth Ave. Fair Oaks, CA 95628-6242",(916) 867-2054,"Greg Barge, gbarge@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
El Camino Fundamental High,Sacramento,San Juan Unified,"4300 El Camino Ave. Sacramento, CA 95821-6702",(916) 971-7430,"Randy Holcomb, randy.holcomb@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
"General Davie, Jr. Primary Center",Sacramento,San Juan Unified,"1500 Dom Way Sacramento, CA 95864-2705",(916) 575-2416,"Debbie McMannis, Coordinator, (916) 575-2416, dmcmannis@sanjuan.edu",Elementary Schools (Public),P,P,Yes,No,No,No
Gold River Discovery Center K-8,Sacramento,San Juan Unified,"2200 Roaring Camp Dr. Gold River, CA 95670-7677",(916) 867-2109,"Teresa Cummings, teresa.cummings@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Grand Oaks Elementary,Sacramento,San Juan Unified,"7901 Rosswood Dr. Citrus Heights, CA 95621-1246",(916) 971-5208,"Suzanne Landuyt, slanduyt@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Green Oaks Fundamental Elementary,Sacramento,San Juan Unified,"7145 Filbert Ave. Orangevale, CA 95662-2716",(916) 986-2209,"Rob Reynolds, rob.reynolds@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Greer Elementary,Sacramento,San Juan Unified,"1300 Bell St. Sacramento, CA 95825",(916) 566-2157,"Ashley Cao, (916) 566-2157, ashley.cao@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Harry Dewey Fundamental Elementary,Sacramento,San Juan Unified,"7025 Falcon Rd. Fair Oaks, CA 95628-4515",(916) 867-2020,"Sabrina Parsley, (916) 979-8174, sabrina.parsley@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Howe Avenue Elementary,Sacramento,San Juan Unified,"2404 Howe Ave. Sacramento, CA 95825-0132",(916) 566-2165,"Brandei Smith, brandei.smith@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
James R. Cowan Fundamental Elementary,Sacramento,San Juan Unified,"3350 Becerra Way Sacramento, CA 95821-3706",(916) 575-2312,"Wendy Benson, (916) 575-2312, wbenson@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
John Barrett Middle,Sacramento,San Juan Unified,"4243 Barrett Rd. Carmichael, CA 95608-2463",(916) 971-7842,"Amy Alexander-Carter, aalexander-carter@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Katherine Johnson Middle,Sacramento,San Juan Unified,"1400 Bell St. Sacramento, CA 95838-2806",(916) 971-5894,"Shana Henry, (916) 971-5894, shana.henry@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Kingswood K-8,Sacramento,San Juan Unified,"5700 Primrose Dr. Citrus Heights, CA 95610-7543",(916) 867-2046,"Karen Hanks, karen.hanks@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Lichen K-8,Sacramento,San Juan Unified,"8319 Lichen Dr. Citrus Heights, CA 95621-1123",(916) 971-5237,"Elizabeth Wahl, ewahl@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Louis Pasteur Fundamental Middle,Sacramento,San Juan Unified,"8935 Elm Ave. Orangevale, CA 95662-3522",(916) 971-7891,"Mike Dolan, mdolan@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Mariemont Elementary,Sacramento,San Juan Unified,"1401 Corta Way Sacramento, CA 95864-3055",(916) 575-2360,"Cris Petroni, cpetroni@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Mariposa Avenue Elementary,Sacramento,San Juan Unified,"7940 Mariposa Ave. Citrus Heights, CA 95610-1513",(916) 971-5212,"Leslee Cottrell, leslee.cottrell@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Mary Deterding Elementary,Sacramento,San Juan Unified,"6000 Stanley Ave. Carmichael, CA 95608-4032",(916) 575-2338,"Melanie Allen, melanie.allen@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Mesa Verde High,Sacramento,San Juan Unified,"7501 Carriage Dr. Citrus Heights, CA 95621-2000",(916) 971-5288,"Colin Bross, cbross@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
Mira Loma High,Sacramento,San Juan Unified,"4000 Edison Ave. Sacramento, CA 95821-2825",(916) 971-7465,"Cletus Purinton, (916) 971-7465, cpurinton@sanjuan.edu",High Schools (Public),9,12,Yes,No,Yes,No
Mission Avenue Open Elementary,Sacramento,San Juan Unified,"2925 Mission Ave. Carmichael, CA 95608-3511",(916) 575-2362,"Margaret Terzich, margaret.terzich@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Northridge Elementary,Sacramento,San Juan Unified,"5150 Cocoa Palm Way Fair Oaks, CA 95628-3798",(916) 867-2066,"Petra Luhrsen, petra.luhrsen@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Oakview Community Elementary,Sacramento,San Juan Unified,"7229 Beech Ave. Orangevale, CA 95662-2420",(916) 986-2215,"Shana Walters, shana.walters@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Orangevale Open K-8,Sacramento,San Juan Unified,"5630 Illinois Ave. Fair Oaks, CA 95628-2948",(916) 867-2067,"Rick Boster, rick.boster@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Ottomon Way Elementary,Sacramento,San Juan Unified,"9460 Ottomon Way Orangevale, CA 95662-2845",(916) 986-2228,"Cassidy Butler, cabutler@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Pasadena Avenue Elementary,Sacramento,San Juan Unified,"4330 Pasadena Ave. Sacramento, CA 95821-2919",(916) 971-7373,"Mirna Pelayo, mpelayo@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Pershing Elementary,Sacramento,San Juan Unified,"9010 Pershing Ave. Orangevale, CA 95662-4739",(916) 867-2076,"Kendra Shelton, kendra.shelton@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Rio Americano High,Sacramento,San Juan Unified,"4540 American River Dr. Sacramento, CA 95864-6104",(916) 971-7494,"Cliff Kelly, (916) 971-7494, cliff.kelly@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
San Juan High,Sacramento,San Juan Unified,"7551 Greenback Ln. Citrus Heights, CA 95610-5614",(916) 971-5112,"Dennis Foster, dennis.foster@sanjuan.edu",High Schools (Public),9,12,Yes,No,No,No
Sierra Oaks K-8,Sacramento,San Juan Unified,"171 Mills Rd. Sacramento, CA 95864-5647",(916) 575-2390,"Matt English, matt.english@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Skycrest Elementary,Sacramento,San Juan Unified,"5641 Mariposa Ave. Citrus Heights, CA 95610-7441",(916) 867-2098,"Sandra Rangel, srangel@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Starr King K-8,Sacramento,San Juan Unified,"4848 Cottage Way Carmichael, CA 95608-5612",(916) 971-7320,"Dwight Rogers, (916) 971-7320, dwight.rogers@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Sylvan Middle,Sacramento,San Juan Unified,"7085 Auburn Blvd. Citrus Heights, CA 95621-4351",(916) 971-7873,"Kirk Bebout, kbebout@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Thomas Edison Language Institute K-8,Sacramento,San Juan Unified,"2950 Hurley Way Sacramento, CA 95864-3760",(916) 979-8960,"Heidi Garner, hgarner@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
Thomas Kelly Elementary,Sacramento,San Juan Unified,"6301 Moraga Dr. Carmichael, CA 95608-1128",(916) 867-2041,"Josh Costa, jcosta@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Trajan Elementary,Sacramento,San Juan Unified,"6601 Trajan Dr. Orangevale, CA 95662-3220",(916) 971-5200,"Monica Curiel, mcuriel@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Twin Lakes Elementary,Sacramento,San Juan Unified,"5515 Main Ave. Orangevale, CA 95662-5314",(916) 986-2243,"Jennifer Lawson, jennifer.lawson@sanjuan.edu",Elementary Schools (Public),K,6,Yes,No,No,No
Whitney Avenue Elementary,Sacramento,San Juan Unified,"4248 Whitney Ave. Sacramento, CA 95821-3253",(916) 575-2407,"Christina Allison, christina.allison@sanjuan.edu",Elementary Schools (Public),K,5,Yes,No,No,No
Will Rogers Middle,Sacramento,San Juan Unified,"4924 Dewey Dr. Fair Oaks, CA 95628-4403",(916) 971-7889,"Aaron Wurtzer, awurtzer@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Winston Churchill Middle,Sacramento,San Juan Unified,"4900 Whitney Ave. Carmichael, CA 95608-2937",(916) 971-7324,"Brent Givens, brent.givens@sanjuan.edu",Intermediate/Middle Schools (Public),6,8,Yes,No,No,No
Woodside K-8,Sacramento,San Juan Unified,"8248 Villa Oak Dr. Citrus Heights, CA 95610-2616",(916) 971-5216,"Jeannie Broyles, jeannie.broyles@sanjuan.edu",Elementary Schools (Public),K,8,Yes,No,No,No
D. W. Babcock Elementary,Sacramento,Twin Rivers Unified,"2400 Cormorant Way Sacramento, CA 95815-2715",(916) 566-3415,"Robert Myers, (916) 566-3415, robert.myers@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Del Paso Heights Elementary,Sacramento,Twin Rivers Unified,"590 Morey Ave. Sacramento, CA 95838-3332",(916) 566-3425,"Bradley Allen, (926) 566-3425 Ext. 20600, bradley.allen@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Dry Creek Elementary,Sacramento,Twin Rivers Unified,"1230 G St. Rio Linda, CA 95673-4414",(916) 566-1820,"Amanda Forde, (916) 566-1600 Ext. 60218, amanda.forde@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Fairbanks Elementary,Sacramento,Twin Rivers Unified,"227 Fairbanks Ave. Sacramento, CA 95838-4799",(916) 566-3435,"Bradley Allen, bradley.allen@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Foothill High,Sacramento,Twin Rivers Unified,"5000 McCloud Dr. Sacramento, CA 95842-2815",(916) 566-3445,"Heather King, (916) 566-1600 Ext. 66026, heather.king@twinriversusd.org",High Schools (Public),9,12,Yes,No,No,No
Foothill Oaks Elementary,Sacramento,Twin Rivers Unified,"5520 Lancelot Dr. Sacramento, CA 95842-2100",(916) 566-1830,"Melissa Rossavick, (916) 566-1830, melissa.rossavick@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Foothill Ranch Middle,Sacramento,Twin Rivers Unified,"5001 Diablo Dr. Sacramento, CA 95842-3119",(916) 566-3440,"Doug Emerson, doug.emerson@twinriversusd.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Frederick Joyce Elementary,Sacramento,Twin Rivers Unified,"6050 Watt Ave. North Highlands, CA 95660-4212",(916) 566-1880,"Jim Davis, (916) 566-1600 Ext. 62415, jim.davis@twinriversusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Frontier Elementary,Sacramento,Twin Rivers Unified,"6691 Silverthorne Cir. Sacramento, CA 95842-2654",(916) 566-1840,"Mai Yang, mai.yang@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Garden Valley Elementary,Sacramento,Twin Rivers Unified,"3601 Larchwood Dr. Sacramento, CA 95834-2212",(916) 566-3460,"Stacey Firpo, (916) 566-3460, stacey.firpo@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Grant Union High,Sacramento,Twin Rivers Unified,"1400 Grand Ave. Sacramento, CA 95838-3624",(916) 566-3450,"Darris Hinson, (916) 566-3450, darris.hinson@twinriversusd.org",High Schools (Public),9,12,Yes,No,No,No
Hagginwood Elementary,Sacramento,Twin Rivers Unified,"1418 Palo Verde Ave. Sacramento, CA 95815-1417",(916) 566-3475,"Marc Moorehead, marc.moorehead@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Hazel Strauch Elementary,Sacramento,Twin Rivers Unified,"3141 Northstead Dr. Sacramento, CA 95833-1218",(916) 566-2745,"Michael Amparo, (916) 566-2745, michael.amparo@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Highlands High,Sacramento,Twin Rivers Unified,"6601 Guthrie Way North Highlands, CA 95660-3911",(916) 566-3465,"Darryl Hawthrone, (916) 566-3465, darryl.hawthrone@twinriversusd.org",High Schools (Public),9,12,Yes,No,No,No
Hillsdale Elementary,Sacramento,Twin Rivers Unified,"6469 Guthrie Way North Highlands, CA 95660-3995",(916) 566-1860,"Kristina Jordan, kristina.jordan@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Kohler Elementary,Sacramento,Twin Rivers Unified,"4004 Bruce Way North Highlands, CA 95660-4404",(916) 566-1850,"Patrick Durant, (916) 566-1600 Ext. 22400, patrick.durant@twinriversusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Las Palmas Elementary,Sacramento,Twin Rivers Unified,"477 Las Palmas Ave. Sacramento, CA 95815-1605",(916) 566-2700,"Megan Simmons, (916) 566-2700 Ext. 22800, megan.simmons@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Madison Elementary,Sacramento,Twin Rivers Unified,"5241 Harrison St. North Highlands, CA 95660-5444",(916) 566-1900,"Martin Powers, (916) 566-1900, martin.powers@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Martin Luther King Jr. Technology Academy,Sacramento,Twin Rivers Unified,"3051 Fairfield St. Sacramento, CA 95815-1199",(916) 566-3490,"Wesley Marshall, wesley.marshall@twinriversusd.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Michael J. Castori Elementary,Sacramento,Twin Rivers Unified,"1801 South Ave. Sacramento, CA 95838-4636",(916) 566-3420,"Leslie Sargent, (916) 566-3420, leslie.sargent@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Northwood Elementary,Sacramento,Twin Rivers Unified,"2630 Taft St. Sacramento, CA 95815-2335",(916) 566-2705,"Robert Myers, (916) 566-2705, robert.myers@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Norwood Junior High,Sacramento,Twin Rivers Unified,"4601 Norwood Ave. Sacramento, CA 95838-2283",(916) 566-2710,"Diedre Barlow, (916) 566-1600 Ext. 64605, diedre.barlow@twinriversusd.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Nova Opportunity,Sacramento,Twin Rivers Unified,"2035 North Ave. Sacramento, CA 95838-1329",(916) 566-2765,"Bob Wilkerson, bob.wilkerson@twinriversusd.org",Intermediate/Middle Schools (Public),7,9,Yes,No,No,No
Oakdale Elementary,Sacramento,Twin Rivers Unified,"3708 Myrtle Ave. North Highlands, CA 95660-5204",(916) 566-1910,"Kadhir Rajagopal, kadhir.rajagopal@twinriversusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Orchard Elementary,Sacramento,Twin Rivers Unified,"1040 Q St. Rio Linda, CA 95673-1532",(916) 566-1930,"Paula Roach, (916) 566-1930, paula.roach@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Pioneer Elementary,Sacramento,Twin Rivers Unified,"5816 Pioneer Way Sacramento, CA 95841-2215",(916) 566-1940,"Isabel Acosta, (916) 566-1940, isabel.acosta@twinriversusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Regency Park Elementary,Sacramento,Twin Rivers Unified,"5901 Bridgecross Dr. Sacramento, CA 95835-1956",(916) 566-1660,"Timothy Hammons, (916) 566-1660, tim.hammons@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Ridgepoint Elementary,Sacramento,Twin Rivers Unified,"4680 Monument Dr. Sacramento, CA 95842-4343",(916) 566-1950,"Willard Pope, (916) 566-1600 Ext. 23600, willard.pope@twinriversusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Rio Linda High,Sacramento,Twin Rivers Unified,"6309 Dry Creek Rd. Rio Linda, CA 95673-4412",(916) 566-2725,"Paul Orlando, (916) 566-2725, paul.orlando@twinriversusd.org",High Schools (Public),9,12,Yes,No,No,No
Rio Linda Preparatory Academy,Sacramento,Twin Rivers Unified,"1101 G St. Rio Linda, CA 95673-4327",(916) 566-2720,"Amber Lozano, (916) 566-2720, amber.lozano@twinriversusd.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Rio Tierra Junior High,Sacramento,Twin Rivers Unified,"3201 Northstead Dr. Sacramento, CA 95833-1216",(916) 566-2730,"Adam Sinor, adam.sinor@twinriversusd.org",Intermediate/Middle Schools (Public),7,8,Yes,No,No,No
Sierra View Elementary,Sacramento,Twin Rivers Unified,"3638 Bainbridge Dr. North Highlands, CA 95660-2765",(916) 566-1960,"Stephanie Tarrell, (916) 566-1960, stephanie.tarrell@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Village Elementary,Sacramento,Twin Rivers Unified,"6845 Larchmont Dr. North Highlands, CA 95660-3506",(916) 566-1970,"Anna Ampania, (916) 566-1970, anna.ampania@twinriversusd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Warren A. Allison Elementary,Sacramento,Twin Rivers Unified,"4315 Don Julio Blvd. North Highlands, CA 95660-3838",(916) 566-1810,"Jacqueline Dewitt, (916) 566-1810, jacqueline.dewitt@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Westside Elementary,Sacramento,Twin Rivers Unified,"6537 West Second St. Rio Linda, CA 95673-3231",(916) 566-1990,"Niamh Conner, (916) 566-1990, niamh.conner@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Woodlake Elementary,Sacramento,Twin Rivers Unified,"700 Southgate Rd. Sacramento, CA 95815-3895",(916) 566-2755,"Debra Chandler, debra.chandler@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Woodridge Elementary,Sacramento,Twin Rivers Unified,"5761 Brett Dr. Sacramento, CA 95842-3161",(916) 566-1650,"Shauna Newton, (916) 566-1650, shauna.newton@twinriversusd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Anzar High,San Benito,Aromas - San Juan Unified,"2300 San Juan Hwy. San Juan Buatista, CA 95045-9558",(831) 623-8121,"Angela Crawley, (831) 623-7660, aoliveira@asjusd.k12.ca.us",High Schools (Public),9,12,Yes,No,No,No
Aromas,San Benito,Aromas - San Juan Unified,"365 Vega St. Aromas, CA 95004-0216",(831) 726-5100,"Ms. Heather Howell, (831) 726-5100, hhowell@asjusd.k12.ca.us",Elementary Schools (Public),K,8,Yes,No,No,No
San Juan,San Benito,Aromas - San Juan Unified,"2300 San Juan Hwy. San Juan Bautista, CA 95045-9573",(831) 623-8121,"Mrs. Elizabeth Cord, (831) 623-4538, ecord@asjusd.k12.ca.us",Elementary Schools (Public),K,8,Yes,No,No,No
Bitterwater-Tully Elementary,San Benito,Bitterwater-Tully Elementary,"Lonoak Rt., Box 10 King City, CA 93930",(831) 385-5339,"Candace Brewen, Superintendent//Teacher, (831) 385-5339, cbrewen@sbcoe.org",Elemen Schools In 1 School Dist. (Public),K,8,Yes,No,No,No
Cienega Elementary,San Benito,Cienega Union Elementary,"11936 Cienega Rd. Hollister, CA 95023-9697",(831) 637-3821,"Hallie Ochoa, Superintendent/, cienegaschool@yahoo.com",Elemen Schools In 1 School Dist. (Public),K,8,Yes,No,No,Yes
Accelerated Achievement Academy,San Benito,Hollister,"1151 Buena Vista Rd., Ste. 200 Hollister, CA 95023",(831) 636-4460,"Scott Wilbur, swilbur@hesd.org",Elementary Schools (Public),4,8,Yes,No,No,No
Calaveras Elementary,San Benito,Hollister,"1151 Buena Vista Rd., Ste. 100 Hollister, CA 95023-3329",(831) 636-4460,"Ken Woods, kwoods@hesd.org",Elementary Schools (Public),K,8,Yes,No,No,No
Cerra Vista Elementary,San Benito,Hollister,"2151 Cerra Vista Dr. Hollister, CA 95023-6200",(831) 636-4470,"Colleen Myers, cmyers@hesd.org",Elementary Schools (Public),K,6,Yes,No,No,No
Gabilan Hills,San Benito,Hollister,"901 Santa Ana Rd. Hollister, CA 95023-7117",(831) 636-4430,"Monique Ruiz, mruiz@hesd.org",Elementary Schools (Public),K,5,Yes,No,No,No
